"","date","PE_RATIO","AAPL US EQUITY","IBM US EQUITY","MSFT US EQUITY"
"170","2011-08-31",13.9371,NA,186.8733,NA
"171","2011-08-31",15.2348,54.9757,NA,NA
"172","2011-09-30",9.3192,NA,NA,27.3853
"173","2011-09-30",13.7115,NA,190.0909,NA
"174","2011-09-30",13.781,54.4743,NA,NA
"175","2011-10-31",9.9706,NA,NA,29.2998
"176","2011-10-31",14.4768,NA,200.7004,NA
"177","2011-10-31",14.6288,57.8257,NA,NA
"178","2011-11-30",9.5775,NA,NA,28.3645
"179","2011-11-30",13.8128,54.6,NA,NA
"180","2011-11-30",14.741,NA,205.179,NA
"181","2011-12-30",9.7389,NA,NA,28.7859
"182","2011-12-30",11.5352,57.8571,NA,NA
"183","2011-12-30",13.8964,NA,200.6826,NA
"184","2012-01-31",11.0782,NA,NA,32.7445
"185","2012-01-31",13.0014,65.2114,NA,NA
"186","2012-01-31",14.5554,NA,210.1994,NA
"187","2012-02-29",11.9073,NA,NA,35.4169
"188","2012-02-29",14.8675,NA,215.5253,NA
"189","2012-02-29",15.4497,77.4914,NA,NA
"190","2012-03-30",11.8521,NA,NA,35.9915
"191","2012-03-30",14.6196,85.65,NA,NA
"192","2012-03-30",15.2247,NA,228.5841,NA
"193","2012-04-30",11.7639,NA,NA,35.7237
"194","2012-04-30",14.2399,83.4257,NA,NA
"195","2012-04-30",15.1102,NA,226.8641,NA
"196","2012-05-31",10.7259,NA,NA,32.7946
"197","2012-05-31",14.0755,NA,212.2606,NA
"198","2012-05-31",14.0875,82.5329,NA,NA
"199","2012-06-29",11.3512,NA,NA,34.3675
"200","2012-06-29",13.7283,83.4286,NA,NA
"201","2012-06-29",13.8666,NA,215.2096,NA
"202","2012-07-31",10.9356,NA,NA,33.1092
"203","2012-07-31",13.895,NA,215.6497,NA
"204","2012-07-31",14.3573,87.2514,NA,NA
"205","2012-08-31",11.4365,NA,NA,34.8506
"206","2012-08-31",13.8149,NA,215.3416,NA
"207","2012-08-31",15.638,95.4129,NA,NA
"208","2012-09-28",11.6878,NA,NA,33.652
"209","2012-09-28",14.1917,NA,229.2667,NA
"210","2012-09-28",15.1065,95.6803,NA,NA
"211","2012-10-31",11.2087,NA,NA,32.2724
"212","2012-10-31",13.3079,NA,214.988,NA
"213","2012-10-31",13.481,85.3845,NA,NA
"214","2012-11-30",10.4526,NA,NA,30.3558
"215","2012-11-30",13.0028,NA,210.9983,NA
"216","2012-11-30",13.2536,84.3246,NA,NA
"217","2012-12-31",10.4871,NA,NA,30.4638
"218","2012-12-31",12.0674,76.6731,NA,NA
"219","2012-12-31",12.6186,NA,212.6413,NA
"220","2013-01-31",10.3286,65.625,NA,NA
"221","2013-01-31",10.7778,NA,NA,31.3081
"222","2013-01-31",13.3775,NA,225.4297,NA
"223","2013-02-28",10.0091,63.9768,NA,NA
"224","2013-02-28",10.9152,NA,NA,31.9697
"225","2013-02-28",13.2299,NA,223.8867,NA
"226","2013-03-29",10.5102,NA,NA,32.8954
"227","2013-03-29",10.5672,64.1594,NA,NA
"228","2013-03-29",13.9607,NA,237.7883,NA
"229","2013-04-30",10.5701,64.1768,NA,NA
"230","2013-04-30",12.1618,NA,NA,38.0646
"231","2013-04-30",13.2564,NA,225.793,NA
"232","2013-05-31",10.7361,65.6269,NA,NA
"233","2013-05-31",12.8232,NA,NA,40.3991
"234","2013-05-31",13.6151,NA,232.9612,NA
"235","2013-06-28",9.9033,57.8631,NA,NA
"236","2013-06-28",12.3568,NA,214.0237,NA
"237","2013-06-28",13.0488,NA,NA,39.9881
"238","2013-07-31",11.3019,66.0348,NA,NA
"239","2013-07-31",12.0271,NA,NA,36.8569
"240","2013-07-31",12.6109,NA,218.4249,NA
"241","2013-08-30",11.7852,NA,205.1877,NA
"242","2013-08-30",12.1682,71.5414,NA,NA
"243","2013-08-30",12.6163,NA,NA,38.929
"244","2013-09-30",11.795,NA,208.4636,NA
"245","2013-09-30",12.03,70.0046,NA,NA
"246","2013-09-30",12.1604,NA,NA,38.7891
"247","2013-10-31",11.4147,NA,201.743,NA
"248","2013-10-31",12.9369,NA,NA,41.2659
"249","2013-10-31",13.1896,76.752,NA,NA
"250","2013-11-29",11.4447,NA,203.3415,NA
"251","2013-11-29",13.9326,NA,NA,44.7683
"252","2013-11-29",14.0315,82.0995,NA,NA
"253","2013-12-31",11.4274,NA,212.2705,NA
"254","2013-12-31",13.5796,NA,NA,43.9229
"255","2013-12-31",13.91,82.8304,NA,NA
"256","2014-01-31",10.764,NA,199.9465,NA
"257","2014-01-31",12.4119,73.9098,NA,NA
"258","2014-01-31",13.7357,NA,NA,44.4278
"259","2014-02-28",11.2812,NA,210.6296,NA
"260","2014-02-28",13.0476,78.1457,NA,NA
"261","2014-02-28",13.9063,NA,NA,45.3084
"262","2014-03-31",11.6744,NA,218.956,NA
"263","2014-03-31",12.808,79.7049,NA,NA
"264","2014-03-31",15.4345,NA,NA,48.478
"265","2014-04-30",11.9157,NA,223.4833,NA
"266","2014-04-30",14.0811,87.6273,NA,NA
"267","2014-04-30",15.2123,NA,NA,47.7802
"268","2014-05-30",11.1813,NA,210.9595,NA
"269","2014-05-30",15.105,94.4879,NA,NA
"270","2014-05-30",15.4157,NA,NA,48.75
"271","2014-06-30",10.7057,NA,207.4236,NA
"272","2014-06-30",14.9769,97.1016,NA,NA
"273","2014-06-30",15.8493,NA,NA,49.655
"274","2014-07-31",11.32,NA,219.3242,NA
"275","2014-07-31",15.4072,99.8915,NA,NA
"276","2014-07-31",16.4042,NA,NA,51.3935
"277","2014-08-29",11.3572,NA,221.3038,NA
"278","2014-08-29",16.5192,107.5923,NA,NA
"279","2014-08-29",17.267,NA,NA,54.4299
"280","2014-09-30",10.4119,NA,218.4612,NA
"281","2014-09-30",15.612,105.7553,NA,NA
"282","2014-09-30",17.4657,NA,NA,55.5442
"283","2014-10-31",9.0171,NA,189.1957,NA
"284","2014-10-31",16.7354,113.3655,NA,NA
"285","2014-10-31",17.688,NA,NA,56.251
"286","2014-11-28",8.8948,NA,187.8953,NA
"287","2014-11-28",18.012,NA,NA,57.6528
"288","2014-11-28",18.4291,125.3319,NA,NA
"289","2014-12-31",9.1597,NA,185.8909,NA
"290","2014-12-31",14.8405,116.3217,NA,NA
"291","2014-12-31",17.7022,NA,NA,56.0128
"292","2015-01-30",8.7526,NA,177.6298,NA
"293","2015-01-30",15.3966,NA,NA,48.7173
"294","2015-01-30",15.752,123.4666,NA,NA
"295","2015-02-27",9.2453,NA,188.9033,NA
"296","2015-02-27",16.7114,NA,NA,53.2514
"297","2015-02-27",17.2713,135.8702,NA,NA
"298","2015-03-31",9.0487,NA,187.2235,NA
"299","2015-03-31",15.3472,131.6077,NA,NA
"300","2015-03-31",15.8956,NA,NA,49.3714
"301","2015-04-30",9.657,NA,199.8101,NA
"302","2015-04-30",15.436,132.3692,NA,NA
"303","2015-04-30",19.0177,NA,NA,59.0684
"304","2015-05-29",9.5646,NA,199.4135,NA
"305","2015-05-29",16.0687,138.3452,NA,NA
"306","2015-05-29",18.3217,NA,NA,57.2832
"307","2015-06-30",9.3845,NA,191.1972,NA
"308","2015-06-30",14.4622,133.1896,NA,NA
"309","2015-06-30",18.6094,NA,NA,53.9704
"310","2015-07-31",9.3458,NA,190.4096,NA
"311","2015-07-31",13.9865,128.8092,NA,NA
"312","2015-07-31",19.6842,NA,NA,57.0876
"313","2015-08-31",8.5323,NA,175.364,NA
"314","2015-08-31",13.0018,120.2928,NA,NA
"315","2015-08-31",18.3439,NA,NA,53.5792
"316","2015-09-30",9.2856,NA,171.9015,NA
"317","2015-09-30",11.9757,117.6684,NA,NA
"318","2015-09-30",18.9271,NA,NA,54.4903
"319","2015-10-30",8.9724,NA,166.1031,NA
"320","2015-10-30",12.9746,127.483,NA,NA
"321","2015-10-30",22.5107,NA,NA,64.8072
"322","2015-11-30",8.9302,NA,166.862,NA
"323","2015-11-30",12.8443,126.7576,NA,NA
"324","2015-11-30",23.242,NA,NA,67.3557
"325","2015-12-31",9.0693,NA,164.7077,NA
"326","2015-12-31",11.2247,112.7853,NA,NA
"327","2015-12-31",25.1532,NA,NA,68.7561
"328","2016-01-29",8.2238,NA,149.3524,NA
"329","2016-01-29",10.3801,104.2991,NA,NA
"330","2016-01-29",24.9764,NA,NA,68.2728
"331","2016-02-29",8.635,NA,158.3765,NA
"332","2016-02-29",10.3108,104.1598,NA,NA
"333","2016-02-29",23.0677,NA,NA,63.5015
"334","2016-03-31",10.1048,NA,183.0582,NA
"335","2016-03-31",12.1773,117.41,NA,NA
"336","2016-03-31",26.7834,NA,NA,68.9306
"337","2016-04-29",9.7372,NA,176.3982,NA
"338","2016-04-29",10.4735,100.9819,NA,NA
"339","2016-04-29",24.1841,NA,NA,62.2409
"340","2016-05-31",10.2576,NA,187.5183,NA
"341","2016-05-31",11.1572,108.1887,NA,NA
"342","2016-05-31",25.702,NA,NA,66.5967
"343","2016-06-30",10.6585,NA,185.1277,NA
"344","2016-06-30",11.2239,103.5734,NA,NA
"345","2016-06-30",24.0639,NA,NA,64.2972
"346","2016-07-29",11.2793,NA,195.9099,NA
"347","2016-07-29",12.2348,112.9015,NA,NA
"348","2016-07-29",26.6552,NA,NA,71.2207
"349","2016-08-31",11.1571,NA,195.4952,NA
"350","2016-08-31",12.4567,115.5667,NA,NA
"351","2016-08-31",27.022,NA,NA,72.6532
"352","2016-09-30",11.5396,NA,195.4583,NA
"353","2016-09-30",13.7593,123.1368,NA,NA
"354","2016-09-30",27.6504,NA,NA,72.8302
"355","2016-10-31",11.1647,NA,189.1091,NA
"356","2016-10-31",13.8189,123.6706,NA,NA
"357","2016-10-31",28.7641,NA,NA,75.7637
"358","2016-11-30",11.7844,NA,201.3276,NA
"359","2016-11-30",13.4513,121.0019,NA,NA
"360","2016-11-30",28.9273,NA,NA,76.6867
"361","2016-12-30",11.8298,NA,206.0065,NA
"362","2016-12-30",13.8619,126.8046,NA,NA
"363","2016-12-30",29.9648,NA,NA,79.0792
