Author,Title,Year,Score, read ,Modern Library         100 best of 20th century compiled in 1998,Man Booker,NBCC,National Book Award,Pen/Faulkner,Pulitzer,"  Esquire           75 best, sept 2008",Flanagan          best of 21st century,Observer           100 best of all time compiled in 2003,Daniel Burt      100 greatest novels of all time compiled in 2004,Radcliffe          100 best of 20th century compiled in 1998,Time Magazine         100 best novels since 1923 compiled in 2005,NYTimes      best novels of last 25 years compiled in 2006
"Ullman, Ellen",The Bug,2002,0,1,,,,,,,,,,,,,
"Carey, Peter",True History of the Kelly Gang,2001,2,,,1,,,,,,,,,,,2001
"Chabon, Michael",The Amazing Adventures of Kavalier and Clay,2001,1,,,,,,,1,,,,,,,
"Franzen, Jonathan",The Corrections,2001,4,1,,,,1,,,,4,,,,1,2001
"Munro, Alice","Hateship, Friendship, Courtship, Loveship, Marriage",2001,1,,,,,,,,,,,,,,2001
"Sebald, W G ",Austerlitz,2001,3,1,,,1,,,,,,1,,,,2001
"Whitehead, Colson",John Henry Days,2001,1,,,,,,,,,,,,,,2001
"Atwood, Margaret",The Blind Assassin,2000,2,1,,1,,,,,,,,,,1,
"Crace, Jim",Being Dead,2000,2,1,,,1,,,,,,,,,,2000
"Heaney, Seamus",Beowulf:  New Verse Translation,2000,1,1,,,,,,,,,,,,,2000
"Jin, Ha",Waiting  ,2000,2,1,,,,1,1,,,,,,,,
"Lahiri, Jhumpa",Interpreter of Maladies,2000,1,1,,,,,,1,,,,,,,
"Roth, Philip",The Human Stain,2000,2,1,,,,,1,,,,,,,,1
"Smith, Zadie",White Teeth,2000,2,1,,,,,,,,,,,,1,2000
"Sontag, Susan",In America,2000,1,,,,,1,,,,,,,,,
"Updike, John",Gertrude and Claudius,2000,1,,,,,,,,,,,,,,2000
"Coetzee, J M ",Disgrace,1999,2,,,1,,,,,,,,,,,1999
"Cunninghum, Michael",The Hours,1999,2,1,,,,,1,1,,,,,,,
"Doyle, Roddie",A Star Called Henry: Volume 1 of the Last Roundup,1999,1,,,,,,,,,,,,,,1999
"Frayn, Michael",Headlong,1999,1,,,,,,,,,,,,,,1999
"Haruf, Kent",Plainsong,1999,1,,,,,,,,1,,,,,,
"Lethem, Jonathan",Motherless Brooklyn,1999,1,,,,1,,,,,,,,,,
"Proulx, Annie",Close Range: Wyoming Stories,1999,1,,,,,,,,,,,,,,1999
"Banks, Russell",Cloudsplitter,1998,1,,,,,,,,,,,,,,1998
"Cramer, Richard Ben",What it Takes,1998,1,,,,,,,,1,,,,,,
"Gates, David",Preston Falls,1998,1,,,,,,,,,,,,,,1998
"Kindsolver, Barbara",The Poisonwood Bible,1998,1,,,,,,,,,,,,,,1998
"McCarthy, Cormac",Border Trilogy,1998,2,1,,,,1,,,,,,,,,1
"McDermott, Alice",Charming Billy,1998,1,,,,,1,,,,,,,,,
"McEwan, Ian",Amsterdam,1998,1,,,1,,,,,,,,,,,
"Moore, Lorrie",Birds of America,1998,1,,,,,,,,,,,,,,1998
